file,line,type,subtype,severity,summary,details
src/lib/design-system/tokens.ts,12,tokens,duplication,high,Tokens file diverges from Tailwind/CSS variables,"Palette + spacing in tokens.ts do not match globals.css or tailwind.config.ts, so components cannot rely on a single semantic source."
src/app/not-found.tsx,19,colors,hard-coded,medium,Hard-coded brand color literals,"Links/buttons use #007AFF/#666666 directly, bypassing theme tokens and blocking palette swaps."
src/app/error.tsx,34,colors,hard-coded,medium,Error page repeats inline hex values,"CTA + helper text use literal hex colors and hover states outside the token pipeline."
src/app/(dashboard)/dashboard/page.tsx,286,inline-style,layout,medium,Progress bar width controlled via inline style,"Storage meter sets width with style prop, preventing Tailwind/theming overrides or reduced-motion hooks."
src/app/templates/analytics-dashboard/page.tsx,156,inline-style,layout,medium,Chart bars use inline height,"Analytics template renders dynamic heights via style={{height}} instead of utility classes or CSS variables."
src/components/ui/progress.tsx,21,inline-style,animation,medium,Progress indicator uses inline transform,"translateX calc is embedded in style prop so theming + RTL tokens cannot hook into it."
src/components/landing/hero-video.tsx,50,motion,reduced-motion,medium,Background overlay opacity inline without prefers-reduced-motion,"Framer Motion hero video animates opacity via style prop and never checks useReducedMotion."
src/components/home/tech-stack-section.tsx,38,inline-style,masking,medium,MaskType applied inline with lint override,"Component relies on style={{maskType:"alpha"}} and disables lint rule instead of exposing utility class."
src/styles/hero-code-block.css,1,css,dead-code,low,Legacy hero code stylesheet unused,"File is never imported in src/app yet carries bespoke theme tokens and should be migrated or removed."
src/styles/code-block.css,24,css,specificity,medium,Heavy !important usage in unused CSS,"Contains >15 !important rules for syntax highlighting and is not wired into app, risking conflicts if reintroduced."
src/components/Toast.tsx,1,components,duplication,medium,Custom ToastContainer duplicates Radix toast,"App ships both Radix-based toast (src/components/ui/toast.tsx) and this bespoke container, causing inconsistent APIs."
src/lib/design-system/utils.ts,4,utilities,duplication,low,Duplicate cn helper,"Design-system cn duplicates src/lib/utils.ts; consumers import both today."
src/app/whats-included/page.tsx,1,architecture,overgrown,medium,Single file exceeds 500 lines,"Monolithic page mixes layout, marketing sections, and mock data, making incremental UI migration difficult."
